,bauchi,benin,bida,calabar,enugu,gusau,ibadan,ikeja,jos,kaduna,kano,katsina,lagos,lokoja,maiduguri,minna,nguru,ondo,oshogbo,sokoto,warri,yelwa,yola,zaria
2022-07-04,2.1,3.3,1.8,8.2,0.9,10.6,0.2,1.9,4.2,0.5,3.4,2.2,1.9,1.2,0.9,1.7,4.6,2.4,0.8,0.7,6.0,4.2,4.1,2.1
2022-07-05,1.0,7.7,4.2,2.3,1.3,0.8,1.5,2.3,3.6,0.8,0.2,0.4,2.3,2.0,8.8,0.9,2.4,2.8,4.7,0.2,5.9,3.6,1.5,0.6
2022-07-06,0.2,2.8,1.0,3.2,1.3,2.2,0.0,0.0,2.8,0.3,1.3,7.8,0.0,0.8,0.7,0.5,3.3,0.5,0.0,0.3,6.3,2.8,0.7,2.6
2022-07-07,0.8,3.0,0.6,7.3,2.2,3.0,0.1,0.7,1.7,0.8,1.4,2.0,0.7,0.0,0.9,0.5,4.6,0.2,0.0,0.7,5.2,1.7,0.4,0.5
2022-07-08,3.1,5.9,2.3,8.4,2.0,3.0,0.5,1.6,6.3,1.8,0.2,0.2,1.6,0.5,1.0,2.8,5.0,1.5,1.3,0.3,7.5,6.3,1.0,1.7
2022-07-09,3.0,7.7,1.5,4.6,4.8,0.2,1.8,4.3,5.1,1.3,0.4,0.0,4.3,1.0,2.4,3.4,4.6,4.2,3.7,0.0,6.2,5.1,3.9,1.2
2022-07-10,7.2,4.1,0.8,4.4,4.6,0.3,2.1,2.0,4.8,1.1,3.2,2.9,2.0,1.6,1.3,1.4,1.7,5.1,2.3,0.2,2.3,4.8,0.5,4.5
2022-07-11,1.0,5.3,0.2,2.6,4.4,0.0,0.6,1.4,2.7,0.0,0.0,0.0,1.4,0.1,0.9,0.0,1.8,2.6,0.7,0.0,1.2,2.7,0.9,0.2
2022-07-12,1.3,2.7,0.9,1.9,0.2,4.6,1.1,2.4,4.3,0.4,0.0,7.8,2.4,0.1,0.4,0.4,0.6,2.5,0.9,0.0,1.9,4.3,0.3,0.4
2022-07-13,6.4,2.5,0.5,3.9,1.0,1.1,0.3,0.7,3.2,0.6,0.1,0.0,0.7,0.7,0.0,0.4,0.1,1.6,0.3,2.3,1.5,3.2,0.4,1.3
2022-07-14,3.3,2.9,5.2,4.2,0.9,1.7,0.6,0.2,1.2,4.7,0.7,0.5,0.2,1.1,0.5,2.5,2.2,3.0,0.2,1.6,1.7,1.2,0.2,2.0
